study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	timeraw	mean_unit	value_unit
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	8.0	hr		2.9770531467611173e-05	183.397266007617	8.329860616533575e-06	2.0403908139012535e-05		9.30681818181817	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	24.0	hr		3.656556615245038e-05	201.17380422808	5.227863951521202e-06	1.2805599125917108e-05		25.0568181818182	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	48.0	hr		3.007813287140323e-05	157.191323805915	2.5780304379362576e-06	6.3148591143077e-06		47.9659090909091	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	72.0	hr		2.6587618891468975e-05	138.949549437314	2.2788545774269056e-06	5.582030912701705e-06		72.3068181818182	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	96.0	hr		2.374500700758612e-05	122.824700634692	1.7715634063103812e-06	4.339426392447305e-06		95.9318181818182	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	120.0	hr		2.098944105314419e-05					119.556818181818	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	144.0	hr		1.9532186998797972e-05	111.971408907037	3.7296351343358003e-06	9.135703005879306e-06		143.897727272727	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	168.0	hr		2.014390806364142e-05	107.460782832132	2.1808410926699488e-06	5.3419478871350884e-06		168.238636363636	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	240.0	hr		1.4798413531942316e-05	80.5842187761483	1.942786585175195e-06	4.758835812803398e-06		239.113636363636	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	288.0	hr		1.242574114517571e-05	70.5040858137839	2.221332780821568e-06	5.441131861930472e-06		286.363636363636	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	336.0	hr		9.910784121796615e-06	54.5264398847948	1.416967833224058e-06	3.4708481733360383e-06		334.329545454545	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	528.0	hr		4.9773808609961264e-06	26.5526054868037	5.38866474233052e-07	1.3199479013635947e-06		525.477272727273	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	696.0	hr		3.0388912539705708e-06	17.0664368129635	5.066247082258602e-07	1.2409720262397635e-06		692.284090909091	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	blood	HPLC MS/MS	tirzepatide_blood_TIR	864.0	hr		1.3913277427394631e-06	7.97601044960162	2.6567147002108017e-07	6.507595407667641e-07		859.806818181818	mole/meter^3	ng/ml
