study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Urva2021		severe	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	0.0	hr		2.361819882211443e-20				.	1.4210854715202e-14	mole/meter^3	ng/ml
Urva2021		severe	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	8.0	hr		6.913576785710394e-05	402.459016393443	1.4474237112940469e-05	5.909082557126552e-06		7.94117647058826	mole/meter^3	ng/ml
Urva2021		severe	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	12.0	hr		8.275857925751844e-05	467.213114754098	1.4303951970435192e-05	5.839563938807365e-06		11.6470588235294	mole/meter^3	ng/ml
Urva2021		severe	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	24.0	hr		8.275857925751844e-05	471.311475409836	1.5155377682961186e-05	6.18715703040307e-06		23.8235294117647	mole/meter^3	ng/ml
Urva2021		severe	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	48.0	hr		7.969344669242513e-05	507.377049180328	2.571305651828254e-05	1.0497311366189533e-05		48.1764705882353	mole/meter^3	ng/ml
Urva2021		severe	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	72.0	hr		7.049804899714533e-05	442.622950819672	2.145592795565289e-05	8.75934590821111e-06		72.0	mole/meter^3	ng/ml
Urva2021		severe	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	96.0	hr		6.436778386695868e-05	385.245901639344	1.5666233110476786e-05	6.3957128853605265e-06		96.3529411764706	mole/meter^3	ng/ml
Urva2021		severe	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	168.0	hr		3.967643820370738e-05	253.27868852459	1.2941670830393805e-05	5.2834149922543075e-06		168.352941176471	mole/meter^3	ng/ml
Urva2021		severe	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	336.0	hr		1.4985092540456033e-05	112.295081967213	8.343971982753872e-06	3.406412297637637e-06		337.235294117647	mole/meter^3	ng/ml
Urva2021		severe	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	648.0	hr		4.597698847639911e-06	22.1311475409836	0.0	0.0		650.117647058824	mole/meter^3	ng/ml
